,title,descript,topic_keyword,fork,star
160,nvidia-gcp-samples,NVIDIA GPU Accelerated Application Samples in Google Cloud Platform,[],6,15
161,speechsquad,Conversational AI Benchmark.,[],10,58
162,5t5g,This project shows how to leverage your DPDK network application with Mellanox 5T5G features like Accurate Send Scheduling and eCPRI flow steering rules,[],6,13
163,rtx_compute_samples,RTX compute samples,[],10,50
164,nephele,Tools to deploy GPU clusters in the Cloud,[],5,10
165,dgx-selinux,DGX RHEL SELinux Policies,[],6,8
166,O-RAN-Archive,Technical contributions submitted to O-RAN Alliance by NVIDIA,[],0,1
167,nsight-training,Training material for Nsight developer tools,[],13,36
168,blossom-action,Github action used for internal ci-cd pipeline,[],1,2
169,fission,Go package enabling the implementation of a multi-threaded low-level FUSE file system.,[],2,4
170,gvdb-voxels,Sparse volume compute and rendering on NVIDIA GPUs,[],134,582
171,ansible-role-enroot,[BLANK],[],13,6
172,nvbench_demo,Simple starter CMake project that uses NVBench.,[],0,4
173,egl-gbm,The GBM EGL external platform library,[],0,6
174,container-config,Set up your container runtime with NVIDIA GPUs support,[],5,8
175,partialconv,A New Padding Scheme: Partial Convolution based Padding,[],194,1060
176,ngc-container-environment-modules,Environment modules for NGC containers,"['singularity', 'lmod', 'ngc']",5,19
177,GTC-2021-A31202-Code,[BLANK],[],0,7
178,gpu-monitoring-tools,Tools for monitoring NVIDIA GPUs on Linux,[],292,910
179,Eigensolver_gpu,GPU Eigensolver for symmetric/hermitian matrices.,[],15,48
180,FastPhotoStyle,"Style transfer, deep learning, feature transform",[],1187,10830
181,clara-platform-python-client,An intuitive Python 3 package to develop applications with NVIDIA Clara Deploy,[],4,12
182,data-science-stack,NVIDIA Data Science stack tools,[],43,256
183,retinanet-examples,Fast and accurate object detection with end-to-end GPU optimization,"['python', 'deep-learning', 'neural-network', 'object-detection', 'tensorrt', 'retinanet', 'pytorch']",264,819
184,clara-pipeline-operator-sizing-tool,CPOST is a CLI tool to assist with the proper sizing of Clara Deploy pipelines,[],4,5
185,ProViz-AI-Samples,AI-related samples made available by the DevTech ProViz team,[],2,4
186,spark-xgboost-examples,XGBoost GPU accelerated on Spark example applications,[],23,51
187,build-system-archive-import-examples,Examples for importing precompiled binary tarball and zip archives into various build and packaging systems,[],1,3
188,MAXINE-AR-SDK,NVIDIA AR SDK - API headers and sample applications,[],29,149
189,MAXINE-VFX-SDK,NVIDIA Video Effects SDK - API headers and sample applications,[],29,103
190,sortedmap,[BLANK],[],2,6
191,clara-platform-ansible-playbooks,Ansible playbooks to install Clara Deploy Platform,[],0,2
192,tensorrt-laboratory,Explore the Capabilities of the TensorRT Platform,"['kubernetes', 'deep-learning', 'cuda', 'grpc', 'inference', 'tensorrt']",42,254
193,caffe,Caffe: a fast open framework for deep learning.,[],19002,665
194,cstruct,[BLANK],[],2,1
195,semantic-segmentation,Nvidia Semantic Segmentation monorepo,[],367,1572
196,yum-packaging-fabric-manager,Fabric Manager packaging for RHEL,"['nvidia-driver-packages', 'yum-packaging', 'fabricmanager']",1,6
197,PyProf,A GPU performance profiling tool for PyTorch models,[],36,408
198,NVIDIAOpticalFlowSDK,"Optical Flow SDK exposes the latest hardware capability of Turing GPUs dedicated to computing the relative motion of pixels between images. The hardware uses sophisticated algorithms to yield highly accurate flow vectors, with robust frame-to-frame intensity variations and tracks the true object motion faster and more accurately.",[],6,46
199,apt-packaging-fabric-manager,Fabric Manager packaging for Debian,"['nvidia-driver-packages', 'apt-packaging', 'fabricmanager']",2,5
200,fleet-command,"NVIDIA Fleet Command is a hybrid-cloud platform for securely and remotely deploying, managing, and scaling AI across dozens or up to thousands of servers or edge devices. For more info please refer to https://www.nvidia.com/en-us/data-center/products/fleet-command/",[],2,3
201,mcmc-bnn-example,Reference CUDA implementation of training a small Bayesian neural network (BNN) using MCMC,[],0,7
202,ipyparaview,iPython widget for server-side ParaView rendering in Jupyter.,[],24,77
203,Dataset_Utilities,NVIDIA Dataset Utilities (NVDU),"['visualization', 'deep-learning', 'pose-estimation', 'synthetic-dataset-generation']",19,110
204,DeepRecommender,Deep learning for recommender systems,"['deep-learning', 'gpu', 'recommendation-engine', 'collaborative-filtering', 'deep-autoencoders']",339,1618
205,nebula-nsight,Supplemental Widgets for SWT (Nebula) project repository (nebula),[],70,1
206,OpenSeq2Seq,"Toolkit for efficient experimentation with Speech Recognition, Text2Speech and NLP","['text-to-speech', 'deep-learning', 'tensorflow', 'multi-node', 'speech-synthesis', 'speech-recognition', 'seq2seq']",361,1454
207,rapidAligner,Windowed alignment of time series at the speed of light,[],2,15
208,cuda-cpp-grammar,Grammar files for CUDA C++,[],0,2
209,docker-swift,Docker image for Swift all-in-one demo deployment,"['swift', 'docker-image']",35,75
210,ubuntu-packaging-nvidia-driver,NVIDIA driver packaging for Ubuntu,"['ubuntu-packaging', 'nvidia-driver-packages', 'apt-packaging', 'nvidia-graphics-drivers']",4,8
211,apt-packaging-libnvidia-nscq,NSCQ packaging for Debian,"['nvidia-driver-packages', 'apt-packaging', 'libnvidia-nscq']",2,1
212,yum-packaging-libnvidia-nscq,NSCQ packaging for RHEL,"['nvidia-driver-packages', 'yum-packaging', 'libnvidia-nscq']",1,1
213,ubuntu-packaging-nvidia-settings,NVIDIA settings packaging for Ubuntu,"['nvidia-settings', 'ubuntu-packaging', 'nvidia-driver-packages', 'apt-packaging']",1,3
214,ubuntu-packaging-nvidia-modprobe,NVIDIA modprobe packaging for Ubuntu,"['ubuntu-packaging', 'nvidia-driver-packages', 'apt-packaging', 'nvidia-modprobe']",1,2
215,python-jetson,Python utilities for NVIDIA Jetson,[],8,11
216,swiftstack-collectd-plugin,Python plugin for collectd,[],2,1
217,object-detection-tensorrt-example,Running object detection on a webcam feed using TensorRT on NVIDIA GPUs in Python.,[],57,177
218,healthcare-on-tap-TRT-TRITON-demo,Demonstration of the use of TensorRT and TRITON,[],2,10
219,swiftstack-collectd,Mirror of the official repository.,[],1203,1
220,proxyfs-vfs,[BLANK],[],4,1
221,proxyfs-jrpc-client,[BLANK],[],3,1
222,dw-ros,ROS cross-compilation with DriveWorks,[],6,17
223,nv-wavenet,Reference implementation of real-time autoregressive wavenet inference,[],124,711
224,doroce-linux,A command line utility to manage the configuration of a system's high performance network interfaces for RoCE deployments,[],1,5
225,Dataset_Synthesizer,NVIDIA Deep learning Dataset Synthesizer (NDDS),"['computer-vision', 'deep-learning', 'object-detection', 'pose-estimation', 'synthetic-dataset-generation', 'domain-randomization']",107,504
226,GraphQSat,Using GNN and DQN to find a baetter branching heuristic for a CDCL Solver,[],15,34
227,three.js,JavaScript 3D library.,[],32317,10
228,sampleQAT,Inference of quantization aware trained networks using TensorRT,[],15,58
229,ising-gpu,GPU-accelerated Monte Carlo simulations of 2D Ising Model,[],13,25
230,go-tfdata,"Go library that provides easy-to-use interfaces and tools for TensorFlow users, in particular allowing to train existing TF models on .tar and .tgz datasets","['golang', 'datapipeline', 'tfexample', 'tensorflow', 'tar', 'tfrecord']",1,11
231,kmeans,kmeans clustering with multi-GPU capabilities,[],26,103
232,sentiment-discovery,Unsupervised Language Modeling at scale for robust sentiment classification,[],205,1044
233,PixelView,A compact and extensible image viewer,[],2,6
234,NvPipe,NVIDIA-accelerated zero latency video compression library for interactive remoting applications,[],96,381
235,ContrastiveLosses4VRD,"Implementation for the CVPR2019 paper ""Graphical Contrastive Losses for Scene Graph Generation""",[],43,179
236,UnsupervisedLandmarkLearning,Implementation for the unsupervised latent landmark learning work from NVIDIA Applied Deep Learning Research,[],10,36
237,unsupervised-video-interpolation,Unsupervised Video Interpolation using Cycle Consistency,[],14,96
238,cuda-profiler,Tools and extensions for CUDA profiling,[],24,53
239,vdisc,VDisc is a tool for creating and mounting virtual CD-ROM images backed by object storage,[],4,21
240,cbootimage,Tegra BCT and bootable flash image generator/compiler,[],26,22
241,video-sdk-samples,Samples demonstrating how to use various APIs of NVIDIA Video Codec SDK,[],84,232
242,tegra-pinmux-scripts,Scripts to auto-generate pin mux drivers and board configuration tables for Tegra SoCs and boards,[],15,26
243,eglexternalplatform,The EGL External Platform interface,[],9,62
244,NVSM,"NVIDIA System Management Framework. This repository provides plug-ins and utilities to enhance the experience of NVSM deployment on DGX, Drive Constellation, and RTX Servers.",[],2,5
245,dlinput-tf,Optimized data input pipeline for deep learning frameworks,[],4,2
246,Korgi,A tool to convert MIDI controller inputs into UDP packets,[],3,15
247,url-polyfill,URL parser in JavaScript,[],78,1
248,nvvl,A library that uses hardware acceleration to load sequences of video frames to facilitate machine learning training,[],85,657
249,nvstrings,Legacy repository for nvstrings,[],2,11
250,cbootimage-configs,Configuration files for use with cbootimage,[],21,6
251,cnmem,A simple memory manager for CUDA designed to help Deep Learning frameworks manage memory,[],74,263
252,Milano,Milano is a tool for automating hyper-parameters search for your models on a backend of your choice.,"['machine-learning', 'deep-neural-networks', 'deep-learning', 'hyperparameter-optimization', 'hyperparameter-tuning', 'automl']",20,145
253,ngc-examples,NGC VMI Example Scripts,[],8,19
254,mxnet_to_onnx,MxNet to ONNX Exporter,[],11,56
255,online-softmax,"Benchmark code for the ""Online normalizer calculation for softmax"" paper",[],2,10
256,gpu-rest-engine,A REST API for Caffe using Docker and Go,"['deep-learning', 'docker', 'caffe', 'gpu', 'inference', 'inference-server']",102,416
257,winex_lgpl,"Open Source licensed components of Cider/WineX, and associated build tools and support libraries",[],10,23
258,pynvrtc,Python Binding to NVRTC,[],22,77
259,tegrarcm,Tegra ReCovery Mode tool; communicates with Tegra's boot ROM to download code over USB,[],25,51
260,onnx-tensorrt,[BLANK],[],0,1
261,ADLR,Applied Deep Learning Research,[],0,4
262,df-nvshmem-prototype,"Prototype of OpenSHMEM for NVIDIA GPUs, developed as part of DoE Design Forward",[],3,16
263,packer-builder-xenserver,A builder plugin for Packer.IO to support building XenServer images.,[],94,4
264,presto-mapd-connector,"A Presto to MapD connector, enabling MapD queries via Presto",[],2,5
265,kokkos,Core repository for Kokkos software,[],296,2
266,nvidia-query-resource-opengl,A tool for querying OpenGL resource usage of applications using the NVIDIA OpenGL driver,[],7,9
267,docker-distribution,"The Docker toolset to pack, ship, store, and deliver content",[],2122,3
268,Falcor,Real-time rendering research framework,[],30,221
269,SKA-gpu-multiscale-clean,Multiscale CLEAN for the square kilometer array using GPUs,[],4,3
270,docker-volume-netshare,"Docker NFS, AWS EFS, Ceph & Samba/CIFS Volume Plugin",[],162,5
271,SKA-gpu-grid,Gridding for the square kilometer array using GPUs,[],3,4
272,torch-cudnn,Torch-7 FFI bindings for NVIDIA CuDNN,[],161,5
273,tegra-uboot-flasher-scripts,Tegra U-Boot Flasher project: scripts,[],27,26
274,tegra-rootfs-scripts,Tegra scripts,[],20,9
275,tegra-nouveau-rootfs,Manifests to create an Arch Linux ARM rootfs augmented with Nouveau and the OSS graphics stack for NVIDIA's Jetson TK1/TX1 boards,[],29,51
